"","X354","X616","X634","X711","X637","X627","X628","X624","X501","X340","X629","X631","X353","X351","X630","X302","X332","X341","X406","X322","X317","X636","X635","X674","X626","X673","X675","X632","X671","X670","X641","X306","X659","X668","X667"
"01/01/2022 00:00",533,2897,705,591,1525,1222,526,296,990,902,4839,493,1570,1516,4413,4749,336,1956,470,36,41,1533,4305,3923,938,3635,524,1387,4665,4751,4358,4321,832,2721,2612
"01/01/2022 01:00",458,2604,631,529,1393,1024,472,342,1002,759,4119,418,1382,1383,3908,3984,263,1700,415,20,39,1141,3622,3347,615,3060,338,1004,3832,3871,3857,3364,636,2028,1979
"01/01/2022 02:00",352,1401,379,372,937,662,272,148,519,594,2473,289,897,829,2159,2031,169,1029,259,19,9,595,1800,1660,267,1553,150,416,1920,1962,1946,1774,277,997,991
"01/01/2022 03:00",220,849,290,278,744,377,192,114,374,465,1457,193,669,593,1306,1260,72,673,174,9,7,347,1125,1031,158,969,64,194,1093,1106,1127,1044,167,611,589
"01/01/2022 04:00",145,717,197,264,584,300,206,154,417,548,1082,118,537,465,990,921,79,609,105,20,16,237,817,756,140,717,51,167,822,849,827,851,101,520,492
"01/01/2022 05:00",205,904,204,323,747,353,258,188,534,789,1188,151,682,637,1111,1122,169,811,124,52,47,320,994,957,173,851,84,183,1003,1016,955,1011,110,709,726
"01/01/2022 06:00",229,1308,268,384,919,449,294,238,619,897,1693,190,870,875,1748,1791,597,1203,188,347,172,435,1500,1431,224,1171,138,279,1375,1319,1269,1381,141,953,1069
"01/01/2022 07:00",242,1663,261,441,1151,551,388,327,826,1425,2027,189,1146,1160,2099,2161,553,1963,231,639,626,504,1830,1691,307,1445,171,340,1703,1745,1664,1624,239,1198,1342
"01/01/2022 08:00",342,2374,305,481,1424,723,493,372,978,1557,2773,246,1403,1475,2767,3076,420,2213,316,444,827,741,2643,2512,448,2294,276,549,2635,2626,2463,2522,420,1865,2134
"01/01/2022 09:00",534,3614,516,613,1850,1149,740,574,1455,1934,4409,422,1880,2051,4456,4995,473,2989,524,361,621,1226,4424,4205,815,3725,485,1097,4411,4360,4071,4253,662,3133,3432
"01/01/2022 10:00",771,5088,675,861,2368,1509,886,707,1766,2271,6054,580,2428,2653,6421,6949,725,3875,680,434,582,1667,6139,5746,1179,5308,667,1518,6185,6060,5681,5938,1122,4559,4912
"01/01/2022 11:00",1020,6584,852,1087,2927,1884,1095,910,2245,2650,7772,757,3037,3382,8286,9298,942,4813,849,561,615,2280,8089,7563,1554,6809,809,2026,7991,7951,7415,7677,1540,5780,6310
"01/01/2022 12:00",1173,7919,1009,1199,3225,2188,1309,948,2521,2679,9237,966,3528,3810,9619,10672,1143,5498,1042,709,762,2718,9243,8577,1868,8009,994,2513,9386,9291,8613,8905,1749,6806,7335
"01/01/2022 13:00",1390,8420,1207,1342,3860,2590,1398,1109,2820,3163,9869,1044,4107,4340,10455,11690,1255,6046,1173,852,856,2929,10102,9293,2025,8543,1078,2729,9958,9821,9020,9497,1915,7191,7689
"01/01/2022 14:00",1381,9065,1347,1492,4063,2658,1459,1166,2922,3216,10601,1074,4327,4776,11194,12367,1407,6474,1277,861,911,3347,10808,9894,2130,9070,1190,2865,10578,10600,9631,10033,1915,7492,8077
